نوع المستند *,نوع الضريبة *,نوع سلع الجدول *,رقم الفاتورة *,اسم المورد *,رقم التسجيل الضريبي للمورد,رقم الملف الضريبي للمورد,العنوان *,الرقم القومي / رقم جواز السفر,رقم الموبيل,تاريخ الفاتورة *,إسم المنتج *,كود المنتج,نوع البيان *,نوع السلعة *,وحدة قياس المنتج,سعر الوحدة *,فئة الضريبة *,كمية المنتج *,المبلغ الإجمالي *,قيمة الخصم,المبلغ الصافي *,قيمة الضريبة *,الإجمالي *
DOC_TYP_P,TAX_TYP,TYP_SCH,INVNUM,CUST_NAME,CUST_REG_NO,CUST_FILE_NO,ADDRESS,"ID",PHONE,DOC_TIN_NUM,PROD_NAME,PROD_CODE,STAT_TYPE_P,COMM_TYPE_P,PMU,UNITP,TAX_CAT,QOP,TAMMOUNT,DISC,NET_AMM,TAX_VAL,TOTAL
1,1,1,10224350,Egypt trust - Branch,274264323,,"76  شارع الميرغني, القاهره, Cairo",,,2024-11-10,New Digital seal for Three years,EG-274264323-10006236,1,1,C62,2192.98,1,1,2192.98,0,2192.98,307.02,2500
1,1,1,104,ايوال لتوريد اجهزه الكمبيوتر والمحمول,767886712,,"ش مكرم عبيد مدينه نصر القاهره, قسم اول مدينة نصر, القاهرة",,,2025-02-13,"HP 650 G4
",EG-767886712-COM1,1,1,EA,10700,1,5,53500,0,53500,7490,60990
1,1,1,19,ايوال لتوريد اجهزه الكمبيوتر والمحمول,767886712,,"ش مكرم عبيد مدينه نصر القاهره, قسم اول مدينة نصر, القاهرة",,,2025-01-05, hp battery,10001118,1,1,EA,1150,1,16,18400,0,18400,2576,20976
1,1,1,19,ايوال لتوريد اجهزه الكمبيوتر والمحمول,767886712,,"ش مكرم عبيد مدينه نصر القاهره, قسم اول مدينة نصر, القاهرة",,,2025-01-05," HP 650 G5 laptop 
",10001118,1,1,EA,9000,1,1,9000,0,9000,1260,10260
1,1,1,2233,تشيمو للتوريدات و التجارة العامة,762874295,,"عمارات العبور صلاح سالم مصر الجديده القاهره, قسم مصر الجديدة, القاهرة",,,2024-11-13,dell precision 3351 intel core i7-10h nvidia p620 4gb 16gb ddrs 512 gb ssd m.2,10001118,1,1,EA,22000,1,2,44000,0,44000,6160,50160
1,1,1,2233,تشيمو للتوريدات و التجارة العامة,762874295,,"عمارات العبور صلاح سالم مصر الجديده القاهره, قسم مصر الجديدة, القاهرة",,,2024-11-13,security cam + installation  ezviz ty1,10001118,1,2,EA,1900,1,3,5700,0,5700,798,6498
1,1,1,2233,تشيمو للتوريدات و التجارة العامة,762874295,,"عمارات العبور صلاح سالم مصر الجديده القاهره, قسم مصر الجديدة, القاهرة",,,2024-11-13,dell p2418d monitor 2k,10001118,1,1,EA,4300,1,1,4300,0,4300,602,4902
1,1,1,2233,تشيمو للتوريدات و التجارة العامة,762874295,,"عمارات العبور صلاح سالم مصر الجديده القاهره, قسم مصر الجديدة, القاهرة",,,2024-11-13,"hp probook600 g4 with hp monitor 24 inch fhd
 intel core i5-8h 16gb ddrs 512 gb ssd+1tb hdd keyboard+mouse ",10001118,1,1,EA,12100,1,4,48400,0,48400,6776,55176
1,1,1,2266,تشيمو للتوريدات و التجارة العامة,762874295,,"عمارات العبور صلاح سالم مصر الجديده القاهره, قسم مصر الجديدة, القاهرة",,,2024-11-13,dell precision 3351 intel core i7-10h nvidia p620 4gb 16gb ddrs 512 gb ssd m.2,10001118,1,1,EA,22200,1,10,222000,0,222000,31080,253080
1,1,1,2266,تشيمو للتوريدات و التجارة العامة,762874295,,"عمارات العبور صلاح سالم مصر الجديده القاهره, قسم مصر الجديدة, القاهرة",,,2024-11-13,"hp elitebook845 g7 
cpu: amd ryzen 5 pro
gpu: amd redion graphics
memory : 16gb ddrs
srorge : 256gb ssd m 2",10001118,1,1,EA,13000,1,1,13000,0,13000,1820,14820
1,1,1,2266,تشيمو للتوريدات و التجارة العامة,762874295,,"عمارات العبور صلاح سالم مصر الجديده القاهره, قسم مصر الجديدة, القاهرة",,,2024-11-13, access point ,10001118,1,1,EA,600,1,2,1200,0,1200,168,1368
1,1,1,2266,تشيمو للتوريدات و التجارة العامة,762874295,,"عمارات العبور صلاح سالم مصر الجديده القاهره, قسم مصر الجديدة, القاهرة",,,2024-11-13,"hp probook600 g4 with hp monitor 24 inch fhd
 intel core i5-8h 16gb ddrs 512 gb ssd+1tb hdd keyboard+mouse ",10001118,1,1,EA,12100,1,4,48400,0,48400,6776,55176
1,1,1,2266,تشيمو للتوريدات و التجارة العامة,762874295,,"عمارات العبور صلاح سالم مصر الجديده القاهره, قسم مصر الجديدة, القاهرة",,,2024-11-13,"hp probook600 g4 with hp monitor 24 inch fhd
 intel core i5-8h 16gb ddrs 256 gb ssd+500tb hdd keyboard+mouse ",10001118,1,1,EA,11000,1,1,11000,0,11000,1540,12540
1,1,1,2266,تشيمو للتوريدات و التجارة العامة,762874295,,"عمارات العبور صلاح سالم مصر الجديده القاهره, قسم مصر الجديدة, القاهرة",,,2024-11-13, switch tenda 116,10001118,1,1,EA,1100,1,1,1100,0,1100,154,1254
1,1,1,2266,تشيمو للتوريدات و التجارة العامة,762874295,,"عمارات العبور صلاح سالم مصر الجديده القاهره, قسم مصر الجديدة, القاهرة",,,2024-11-13, loadbalance tp - ink ti - r480t,10001118,1,1,EA,3000,1,1,3000,0,3000,420,3420
1,1,1,2319,سيد بيومي سيد عبدالفتاح سيلفر اوفيس للتوريدات العمومية,758989938,,"ش الميرغني مصرالجديده, قسم مصر الجديدة, القاهرة",,,2024-11-25,"dell latitude 7490
CPU: Intel core i5-8U
GPU: Intel UHD Graphics
Memory: 8GB DDR5
Storage: 256 GB SSD M.2
14-inch FHD Touch screen",10001118,1,1,EA,9000,1,3,27000,0,27000,3780,30780
1,1,1,2319,سيد بيومي سيد عبدالفتاح سيلفر اوفيس للتوريدات العمومية,758989938,,"ش الميرغني مصرالجديده, قسم مصر الجديدة, القاهرة",,,2024-11-25,"hp elitebook 1040c7
CPU: Intel core i7-10U
GPU: Intel UHD Graphics
Memory: 16GB DDR5
Storage: 256 GB SSD M.2
14-inch FHD Touch screen ",10001118,1,1,EA,22500,1,1,22500,0,22500,3150,25650
1,1,1,2319,سيد بيومي سيد عبدالفتاح سيلفر اوفيس للتوريدات العمومية,758989938,,"ش الميرغني مصرالجديده, قسم مصر الجديدة, القاهرة",,,2024-11-25,"hp elitebook 1040c7
CPU: Intel core i7-10U
GPU: Intel UHD Graphics
Memory: 16GB DDR5
Storage: 512 GB SSD M.2
14-inch FHD Touch screen
x360",10001118,1,1,EA,22500,1,1,22500,0,22500,3150,25650
1,1,1,2495,سيد بيومي سيد عبدالفتاح سيلفر اوفيس للتوريدات العمومية,758989938,,"ش الميرغني مصرالجديده, قسم مصر الجديدة, القاهرة",,,2024-11-27, Dell 5420,10001118,1,1,EA,13800,1,2,27600,0,27600,3864,31464
1,1,1,2495,سيد بيومي سيد عبدالفتاح سيلفر اوفيس للتوريدات العمومية,758989938,,"ش الميرغني مصرالجديده, قسم مصر الجديدة, القاهرة",,,2024-11-27, Dell 5410.,10001118,1,1,EA,12000,1,2,24000,0,24000,3360,27360
1,1,1,2495,سيد بيومي سيد عبدالفتاح سيلفر اوفيس للتوريدات العمومية,758989938,,"ش الميرغني مصرالجديده, قسم مصر الجديدة, القاهرة",,,2024-11-27,SSD 265,10001118,1,1,EA,1000,1,1,1000,0,1000,140,1140
1,1,1,28,ايوال لتوريد اجهزه الكمبيوتر والمحمول,767886712,,"ش مكرم عبيد مدينه نصر القاهره, قسم اول مدينة نصر, القاهرة",,,2025-01-17,"DELL Laitude 7390 CPU:INTEL core i5 -8TH 
gpu:intelUHD 
Graphics 620 
Memory:16GB DDR4
STORAGE:265GB SSD",10001118,1,1,EA,12300,1,8,98400,0,98400,13776,112176
1,1,1,2904,سيد بيومي سيد عبدالفتاح سيلفر اوفيس للتوريدات العمومية,758989938,,"ش الميرغني مصرالجديده, قسم مصر الجديدة, القاهرة",,,2024-12-03, Ram 32GB,10001118,1,1,EA,3300,1,1,3300,0,3300,462,3762
1,1,1,3579,سيد بيومي سيد عبدالفتاح سيلفر اوفيس للتوريدات العمومية,758989938,,"ش الميرغني مصرالجديده, قسم مصر الجديدة, القاهرة",,,2024-12-12, HP  probook  ,10006276,1,1,EA,9300,1,2,18600,0,18600,2604,21204
1,1,1,3579,سيد بيومي سيد عبدالفتاح سيلفر اوفيس للتوريدات العمومية,758989938,,"ش الميرغني مصرالجديده, قسم مصر الجديدة, القاهرة",,,2024-12-12, Dell Latitude. ,10006276,1,1,EA,14000,1,1,14000,0,14000,1960,15960
1,1,1,385,ايكو لاند للمقاولات العامه والتوريدات,766929442,,"ش عبدربه واصل الزيتون القاهره, قسم الزيتون, القاهرة",,,2025-01-05,"HP 650 G5 laptop 
",10001118,1,1,EA,9000,1,1,9000,0,9000,1260,10260
1,1,1,385,ايكو لاند للمقاولات العامه والتوريدات,766929442,,"ش عبدربه واصل الزيتون القاهره, قسم الزيتون, القاهرة",,,2025-01-05,hp battery,10001118,1,1,EA,1150,1,16,18400,0,18400,2576,20976
1,1,1,49,ايوال لتوريد اجهزه الكمبيوتر والمحمول,767886712,,"ش مكرم عبيد مدينه نصر القاهره, قسم اول مدينة نصر, القاهرة",,,2025-01-22,Dell Laptop ,10001118,1,1,EA,8800,1,3,26400,0,26400,0,26400
1,1,1,49,ايوال لتوريد اجهزه الكمبيوتر والمحمول,767886712,,"ش مكرم عبيد مدينه نصر القاهره, قسم اول مدينة نصر, القاهرة",,,2025-01-22,HP laptop        ,10001118,1,1,EA,8800,1,2,17600,0,17600,2464,20064
